out_val_phc,step,val_phc,val_loss,epoch,train_loss
0.0,843,0.0,5.436445713043213,0,
,843,,,0,9.052717208862305
0.0,1687,0.0,5.0193047523498535,1,
,1687,,,1,5.469982624053955
0.001500000013038516,2531,0.0,4.525753974914551,2,
,2531,,,2,4.693270206451416
0.0035000001080334187,3375,0.0,3.8664944171905518,3,
,3375,,,3,4.063106536865234
0.0033333334140479565,4219,0.0,3.7618424892425537,4,
,4219,,,4,3.8350884914398193
0.004166666883975267,5063,0.0,3.6583316326141357,5,
,5063,,,5,3.7503113746643066
0.004833333194255829,5907,0.0,3.586038827896118,6,
,5907,,,6,3.676046371459961
0.005166666582226753,6751,0.0,3.559291124343872,7,
,6751,,,7,3.5857861042022705
0.006000000052154064,7595,0.0,3.455040454864502,8,
,7595,,,8,3.539257049560547
0.007166666444391012,8439,0.0,2.9443869590759277,9,
,8439,,,9,3.3095319271087646
0.006833333522081375,9283,0.00033333332976326346,2.9297549724578857,10,
,9283,,,10,2.9767043590545654
0.008666666224598885,10127,0.00033333332976326346,2.85561203956604,11,
,10127,,,11,2.931602716445923
0.010166666470468044,10971,0.0013333333190530539,2.7901101112365723,12,
,10971,,,12,2.8504507541656494
0.009666666388511658,11815,0.0008333333535119891,2.5856165885925293,13,
,11815,,,13,2.732166051864624
0.010499999858438969,12659,0.0005000000237487257,2.5668318271636963,14,
,12659,,,14,2.5769803524017334
0.012333333492279053,13503,0.0011666666250675917,2.422128677368164,15,
,13503,,,15,2.477067708969116
0.010166666470468044,14347,0.0020000000949949026,2.483882427215576,16,
,14347,,,16,2.427459716796875
0.009499999694526196,15191,0.00016666666488163173,2.3858039379119873,17,
,15191,,,17,2.4087607860565186
0.011500000022351742,16035,0.0011666666250675917,2.3311402797698975,18,
,16035,,,18,2.3680951595306396
0.012500000186264515,16879,0.0008333333535119891,2.3126790523529053,19,
,16879,,,19,2.366658926010132
0.012500000186264515,17723,0.00033333332976326346,2.2728114128112793,20,
,17723,,,20,2.3428597450256348
0.00983333308249712,18567,0.0013333333190530539,2.4977915287017822,21,
,18567,,,21,2.319530725479126
0.013000000268220901,19411,0.0020000000949949026,2.2848873138427734,22,
,19411,,,22,2.3201122283935547
0.01066666655242443,20255,0.0023333332501351833,2.3200743198394775,23,
,20255,,,23,2.311062812805176
