out_val_phc,val_loss,epoch,step,val_phc,train_loss
0.0026666666381061077,17112.177734375,0,843,0.002166666556149721,
,,0,843,,64049.35546875
0.0008333333535119891,12191.9404296875,1,1687,0.0013333333190530539,
,,1,1687,,16399.486328125
0.001500000013038516,9469.3896484375,2,2531,0.0020000000949949026,
,,2,2531,,13171.8701171875
0.01133333332836628,8448.5556640625,3,3375,0.009999999776482582,
,,3,3375,,11529.1416015625
0.009499999694526196,7803.02685546875,4,4219,0.008666666224598885,
,,4,4219,,10482.9345703125
0.008666666224598885,7848.53466796875,5,5063,0.007499999832361937,
,,5,5063,,10238.8076171875
0.011666666716337204,6669.828125,6,5907,0.01066666655242443,
,,6,5907,,8981.7705078125
0.015166666358709335,7097.40380859375,7,6751,0.013833333738148212,
,,7,6751,,8319.958984375
0.014833332970738411,6457.83056640625,8,7595,0.01666666753590107,
,,8,7595,,8258.470703125
0.03316666558384895,5814.5068359375,9,8439,0.02983333356678486,
,,9,8439,,7816.18603515625
0.056166667491197586,5406.6650390625,10,9283,0.06416666507720947,
,,10,9283,,6989.85791015625
0.009166666306555271,6027.05419921875,11,10127,0.006000000052154064,
,,11,10127,,6933.04931640625
0.0338333323597908,4971.68505859375,12,10971,0.03099999949336052,
,,12,10971,,6574.9990234375
0.027833333238959312,5233.86328125,13,11815,0.02433333359658718,
,,13,11815,,6550.58740234375
0.01600000075995922,6189.03857421875,14,12659,0.017000000923871994,
,,14,12659,,6309.87255859375
0.05583333224058151,4831.048828125,15,13503,0.0533333346247673,
,,15,13503,,6163.9853515625
0.09466666728258133,5026.48876953125,16,14347,0.09216666966676712,
,,16,14347,,6103.6337890625
0.059166666120290756,4944.9111328125,17,15191,0.05366666615009308,
,,17,15191,,6029.7802734375
0.03566666692495346,4917.78173828125,18,16035,0.02916666679084301,
,,18,16035,,6062.88525390625
0.052000001072883606,4819.3564453125,19,16879,0.061000000685453415,
,,19,16879,,5696.3583984375
0.05816666781902313,4707.19580078125,20,17723,0.059166666120290756,
,,20,17723,,5684.9091796875
0.06016666814684868,4539.34423828125,21,18567,0.05999999865889549,
,,21,18567,,5696.9765625
0.06683333218097687,4531.7412109375,22,19411,0.06533333659172058,
,,22,19411,,5532.09814453125
0.05533333495259285,4449.556640625,23,20255,0.06533333659172058,
,,23,20255,,5514.6416015625
0.05900000035762787,4453.35595703125,24,21099,0.052666667848825455,
,,24,21099,,5642.1025390625
0.08150000125169754,4628.625,25,21943,0.08699999749660492,
,,25,21943,,5341.39990234375
0.055666666477918625,4554.607421875,26,22787,0.055166665464639664,
,,26,22787,,5526.74658203125
0.058666665107011795,4448.728515625,27,23631,0.05483333393931389,
,,27,23631,,5352.91162109375
