val_loss,out_val_phc,epoch,step,val_phc,train_loss
14196.50390625,0.004833333194255829,0,843,0.004999999888241291,
,,0,843,,63259.27734375
9398.517578125,0.002166666556149721,1,1687,0.002166666556149721,
,,1,1687,,14187.7314453125
7043.6611328125,0.0011666666250675917,2,2531,0.0011666666250675917,
,,2,2531,,10756.0126953125
6521.77197265625,0.004833333194255829,3,3375,0.004833333194255829,
,,3,3375,,8964.861328125
5127.10498046875,0.009499999694526196,4,4219,0.010833333246409893,
,,4,4219,,7649.0380859375
4620.46142578125,0.022833332419395447,5,5063,0.022333333268761635,
,,5,5063,,6829.47119140625
3843.873291015625,0.025166666135191917,6,5907,0.02500000037252903,
,,6,5907,,6204.19873046875
7831.10546875,0.0020000000949949026,7,6751,0.0020000000949949026,
,,7,6751,,6230.548828125
4120.8271484375,0.02850000001490116,8,7595,0.02566666714847088,
,,8,7595,,6415.27392578125
3732.120361328125,0.03150000050663948,9,8439,0.03200000151991844,
,,9,8439,,5717.1103515625
4608.58984375,0.0020000000949949026,10,9283,0.001500000013038516,
,,10,9283,,5025.5087890625
3241.45458984375,0.06533333659172058,11,10127,0.0625,
,,11,10127,,5030.4375
2859.52587890625,0.04183333367109299,12,10971,0.041333332657814026,
,,12,10971,,4419.99951171875
3855.170654296875,0.028333334252238274,13,11815,0.024000000208616257,
,,13,11815,,4374.7685546875
