val_loss,step,out_val_phc,val_phc,epoch,train_loss
2241.666015625,52,0.0,0.0,0,
,52,,,0,3016.41015625
965.8919067382812,105,0.0,0.0,1,
,105,,,1,981.3695068359375
800.4886474609375,158,0.0,0.0,2,
,158,,,2,854.5187377929688
737.740478515625,211,0.0,0.0,3,
,211,,,3,778.5486450195312
679.3414306640625,264,0.0,0.0,4,
,264,,,4,728.6506958007812
650.1200561523438,317,0.0,0.0,5,
,317,,,5,690.225830078125
625.503662109375,370,0.0,0.0,6,
,370,,,6,659.1752319335938
604.2424926757812,423,0.0,0.0,7,
,423,,,7,634.8551025390625
583.969482421875,476,0.0,0.0,8,
,476,,,8,614.671875
553.857177734375,529,0.0,0.0,9,
,529,,,9,597.9407348632812
549.3065795898438,582,0.0,0.0,10,
,582,,,10,577.3120727539062
530.5786743164062,635,0.0,0.0,11,
,635,,,11,566.1795043945312
520.9932250976562,688,0.0,0.0,12,
,688,,,12,550.5011596679688
527.9190673828125,741,0.0,0.0,13,
,741,,,13,547.9869995117188
507.0826721191406,794,0.0,0.0,14,
,794,,,14,538.2330322265625
495.5714111328125,847,0.0,0.0,15,
,847,,,15,523.6661376953125
